CCY,2009,2010,2011,2012,2013,2014,2015,2016,2017
FRF,4.58,4.9,5.07,4.97,4.77,4.73,6.04,6.07,6.2422
HUF,189,208.15,243.02,220.86,216.26,221.11,290.44,291.17,294.51
USD,1,1,1,1,1,1,1,1,1
CHF,1.04,0.94,0.94,0.92,0.89,0.88,1,1,1.0209
KZT,148.39,147.37,148.49,150.44,154.27,182.07,340.6,342.95,333.96
RUB,30.04,30.54,32.14,30.53,32.87,35.66,72.52,73.36,60.1388
JPY,93.03,81.12,76.91,86.75,105.31,102.27,120.22,119.29,116.22
UAH,8.05,7.94,8.04,8.05,8.24,11.6,24.03,24,27.2175
DEM,1.37,1.46,1.51,1.48,1.42,1.41,1.8,1.81,1.8612
GBP,0.62,0.64,0.64,0.62,0.6,0.59,0.68,0.68,0.8251
PLN,2.86,2.96,3.45,3.09,3.02,3.03,3.92,3.98,4.1564
TRY,1.5,1.54,1.89,1.78,2.15,2.11,2.92,2.96,3.8764
ZAR,7.4,6.63,8.09,8.47,10.49,10.51,15.47,15.59,13.7821
EUR,0.7,0.75,0.77,0.76,0.73,0.72,0.92,0.92,0.9516
CNY,6.4,6.4,6.4,6.3,6.15,6.15,6.49,6.52,6.9343
CNH,6.4,6.4,6.4,6.3,6.15,6.15,6.49,6.52,6.9144
