Bond,Benchmarks,AXE_TYPE,AXE_SIZE
Russia,,,
RUSSIA20E,,A,0
,,,
RUSSIA18,,A,0
RUSSIA19,,A,0
RUSSIA20,,N,0
RUSSIA30,,A,0
RUSSIA22,,A,0
RUSSIA23,RUSSIA43,A,0
RUSSIA26,,A,0
RUSSIA27,RUSSIA47,A,0
RUSSIA28,,A,0
RUSSIA42,,A,0
RUSSIA43,,A,0
RUSSIA47,,,
,,,
Kazakhstan,,,
KAZAKS24,RUSSIA23,,
KAZAKS25,,,
KAZAKS44,RUSSIA42,,
KAZAKS45,KAZAKS25,,
KZOKZ18,,,
KZOKZ20,,,
KZOKZ21,,,
KZOKZ22,,,
KZOKZ23,,,
KZOKZ25,KAZAKS24,,
KZOKZ27,KAZAKS25,,
KZOKZ43,,,
KZOKZ44,,,
KZOKZ47,KAZAKS45,,
KTZKZ19CH,,,
KTZKZ20,,,
KTZKZ22CH,,,
KTZKZ27,,,
KTZKZ42,KAZAKS44,,
KZTGKZ27,KZOKZ27,,
SAMRUK,,,
TENGIZ26,KAZAKS25,,
,,,
Caucasia,,,
ARMEN20,,S,2500
ARMEN25,RUSSIA23,S,5000
ARBANK20,,,
,,,
AZERBJ24,,,
AZERBJ29,AZERBJ24,S,3000
AZERBJ32,AZERBJ24,,
SOIAZ23,AZERBJ24,,
SOIAZ30,AZERBJ32,,
SGCAZE,AZERBJ24,,
IBAZAZ17S,,,
IBAZAZ19,,,
IBAZAZ24,AZERBJ24,,
,,,
BELRUS18,,,
BELRUS23,UKRAIN23,,
BELRUS27,UKRAIN27,,
,,,
GEORG21,UKRAIN21,,
GEOROG21,,,
GRAIL22,GEORG21,,
BGEOLN23$,GEORG21,,
GEBGG20,,,
,,,
TAJIKI27,UKRAIN26,,
