Bond,Benchmarks,AXE_TYPE,AXE_SIZE
Oil minors,,,
ZHAIK19,,,
ZHAIK19N,,,
ZHAIK22,,,
,,,
Kazakh banks,,,
ALLIBK22,ALLIBK24,B,500.0
ALLIBK24,,B,500.0
ATFBPP,,S,1585.0
CCBNKZP,,A,0.0
HSBKKZ21,KKB18,,
KKB18,,A,0.0
KKB22,KKB18,,
KKBP,,B,500.0
KAZNMH19E,,,
KAZNMH23,KAZAKS25,,
DBKAZ20,,,
DBKAZ22,,,
DBKAZ26,,,
EURDEV20,,A,0.0
EURDEV22,,,
,,,
High yield,,,
AFRLN16,,,
AFRLN19,,,
AFRLN20,,,
GENLLN,,,
SEVENG,,,
HELTOW,,,
IHSHLD21,,,
HLSTWR,IHSHLD21,,
LIQTEL,HLSTWR,,
SEATRK,,,
KOS,,,
PUMAFN21,,,
PUMAFN22,,,
PUMAFN24,PUMAFN22,,
TPZMAR,,,
TLWLN20,,,
TLWLN22,,,
EASTCM,,,
PDLLN22,,,
ASYAKA,,,
YUKSEL,,,
,,,
Investment grade,,,
MRDGF25E,,,
MRDGF29E,,,
