Bond,Benchmarks,AXE_TYPE,AXE_SIZE
QATAR,,,
QATAR18SK,,,
QATAR19,,,
QATAR20,,,
QATAR21,,,
QATAR22,,,
QATAR23SK,,,
QATAR26,QATAR22,,
QATAR30,QATAR26,,
QATAR40,QATAR30,,
QATAR42,QATAR40,,
QATAR46,QATAR42,,
QATDIA20,,,
,,,
KSA,,,
KSA21,,,
KSA22SK,,,
KSA23,,,
KSA26,KSA21,,
KSA27SK,KSA22SK,,
KSA28,KSA23,,
KSA46,KSA26,,
KSA47,KSA28,,
,,,
OMAN,,,
OMAN21,,,
OMAN22,,,
OMAN24SK,,,
OMAN26,,,
OMAN27,OMAN26,N,0.0
OMAN47,OMAN27,N,0.0
MAZOON27,OMAN27,,
,,,
KUWAIT,,,
KUWIB22,,,
KUWIB27,,N,0.0
,,,
BAHRAIN,,,
BHRAIN18,,,
BHRAIN20,,,
BHRAIN21,,,
BHRAIN22,,,
BHRAIN23,,,
BHRAIN24,,,
BHRAIN25,,,
BHRAIN26,,,
BHRAIN28,,,
BHRAIN29,,,
BHRAIN44,BHRAIN28,,
BHRAIN47,BHRAIN29,,
OILGAS27,BHRAIN28,,
,,,
IRAQ,,,
IRAQ23,,N,0.0
IRAQ28,IRAQ23,,
,,,
North Africa & Iraq,,,
BTUN20E,,,
BTUN24E,,S,2000.0
BTUN25,,B,5000.0
BTUN27,,A,0.0
EGYPT20,,B,3000.0
EGYPT22,EGYPT20,,
EGYPT25,EGYPT22,B,3000.0
EGYPT27,EGYPT25,B,5000.0
EGYPT40,EGYPT27,A,0.0
EGYPT47,EGYPT40,S,3000.0
JORDAN26,,,
JORDAN27,,N,0.0
JORDAN47,JORDAN27,S,5000.0
MOROC20E,,,
MOROC24E,,,
MOROC22,,,
MOROC42,,S,5000.0
OCPMR24,MOROC22,,
OCPMR25,MOROC22,A,0.0
OCPMR44,MOROC42,N,0.0
,,,
Others,,,
MONGOL18,,,
MONGOL21,,,
MONGOL22,,,
TDBM20,,,
