Bonds,Benchmarks,AXE_TYPE,AXE_SIZE
Quasi-sovereigns,,,
VEBBNK17,,,
VEBBNK18,,,
VEBBNK20,RUSSIA20,,
BSTDBK21,VEBBNK20,,
VEBBNK22,RUSSIA22,,
VEBBNK23,RUSSIA23,,
VEBBNK25,,,
SBERRU19,,,
SBERRU21,VEBBNK20,,
SBERRU22,VEBBNK22,,
SBERRU22S,SBERRU22,,
SBERRU23S,SBERRU22S,,
SBERRU24S,SBERRU23S,,
VTB18N,,,
VTB18,,,
VTB20,VEBBNK20,,
VTB22S,VTB20,,
VTB35,,,
VTBP,,,
RSHB17N,,,
RSHB18,,,
RSHB18N,,,
RSHB23S,,,
GTLKOA21,RUSSIA20,,
GTLKOA24,RUSSIA23,,
GPBRU19,,,
GPBRU19S,GPBRU19,,
GPBRU23S,VTB22S,,
GPBRUP,VTBP,,
,,,
Private,,,
ALFARU18,,,
ALFARU19S,ALFARU18,,
ALFARU21,SBERRU21,,
ALFARU25S,SBERRU24S,,
ALFARUP,VTBP,,
NMOSRM18,ALFARU18,,
NMOSRM19,NMOSRM18,,
NMOSRM19S,NMOSRM19,,
NMOSRM19SN,,,
CRBKMO18,ALFARU18,,
CRBKMO18S,CRBKMO18,,
CRBKMO21,ALFARU21,,
CRBKMO27S,ALFARU25S,,
CRBKMOP,VTBP,,
PROMBK19,ALFARU18,,
PROMBK19S,PROMBK19,,
PROMBK21S,,,
PROMBK21SJ,,,
PROMBKP,,,
HCFBRU20S,,,
HCFBRU21S,PROMBK21S,,
AKBHC18S,,,
AKBHCP,,,
STPETE18S,,,
STPETE19S,CRBKMO18S,,
FCFIN19S,,,
FCFIN23S,,,
RCCF18S,,,
RCCF19S,,,
RENOTE,,,
RUSB22,,,
TRACAP,,,
AKBARS18,,,
AKBARS22S,,,
TATFON19,,,
FEIBNK,,,
IIBRU11,,,
IIBRU13,,,
