Bonds,Benchmarks,AXE_TYPE,AXE_SIZE
Telcos,,,
AFKSRU,MOBTEL20,,
MOBTEL20,RUSSIA20,,
MOBTEL23,RUSSIA23,,
VIP18,,,
VIP19,RUSSIA19,,
VIP20N,VIP19,,
VIP21,,,
VIP21N,,,
VIP22,RUSSIA22,,
VIP23,MOBTEL23,,
VIP23N,VIP23,,
VIP24,,,
Mining,,,
GMKNRM18,,,
GMKNRM20,RUSSIA20,,
GMKNRM22,RUSSIA22,,
GMKNRM22N,,,
GMKNRM23,RUSSIA23,,
NLMKRU18,,,
NLMKRU19,,,
NLMKRU23,RUSSIA23,,
CHMFRU17,,,
CHMFRU18,,,
CHMFRU21,,,
CHMFRU22,GMKNRM22,,
METINR20,,,
METINR24,NLMKRU23,,
EVRAZ18,,,
EVRAZ18N,,,
EVRAZ20,LUKOIL20,,
EVRAZ21,,,
EVRAZ22,GMKNRM22,,
EVRAZ23,VIP23,,
RUALRU22,EVRAZ22,,
RUALRU23,EVRAZ23,,
ALRSRU20,GMKNRM20,,
PGILLN20,ALRSRU20,,
PGILLN22,GMKNRM22,,
PGILLN23,,,
NORDLI,CHMFRU18,,
TRUBRU18,,,
TRUBRU20,EVRAZ20,,
EUCHEM17,,,
EUCHEM20,,,
EUCHEM21,PHORRU21,,
PHORRU18,,,
PHORRU21,CHMFRU21,,
URKARM,,,
SIBUR,GMKNRM18,,
IMHRUS18,,,
IMHRUS22,EVRAZ22,,
O&G quasis,,,
NVTKRM21,,,
NVTKRM22,RUSSIA23,,
LUKOIL18,,,
LUKOIL19,,,
LUKOIL20,RUSSIA20,,
LUKOIL22,RUSSIA22,,
LUKOIL23,RUSSIA23,,
LUKOIL26,RUSSIA26,,
SIBNEF22,RUSSIA22,,
SIBNEF23,RUSSIA23,,
ROSNRM22,RUSSIA22,,
TMENRU18,,,
TMENRU20,RUSSIA20,,
GAZPRU18,RUSSIA18,,
GAZPRU19,RUSSIA19,,
GAZPRU20N,RUSSIA20,,
GAZPRU21,RUSSIA20,,
GAZPRU22,RUSSIA22,,
GAZPRU22N,RUSSIA22,,
GAZPRU27,RUSSIA27,,
GAZPRU28,RUSSIA27,,
GAZPRU34,,,
GAZPRU37,GAZPRU27,,
Oil minors,,,
BORFIN18,,,
BORFIN22,EDCLLI,,
VOSTOK19,,,
VOSTOK20,,,
EDCLLI,LUKOIL20,,
Infrastructure,,,
TNEFT18,,,
OONEPR,,,
DMEAIR18,,,
DMEAIR21,VIP21,,
SCFRU23,RUSSIA23,,
RURAIL20,RUSSIA20,,
RURAIL22,RUSSIA22,,
RURAIL24,RUSSIA23,,
GLPRLI22,RURAIL22,,
GLPRLI23,,,
RBNRL,,,
FESHRU18,,,
FESHRU20,,,
