Bond,Benchmarks,AXE_TYPE,AXE_SIZE
South Africa,,,
SOAF19,,N,0.0
SOAF20,,N,0.0
SOAFSK,,N,0.0
SOAF22,,N,0.0
SOAF24,,N,0.0
SOAF25,SOAF24,S,10000.0
SOAF26,SOAF25,N,0.0
SOAF26E,,N,0.0
SOAF27,SOAF26,B,10000.0
SOAF28,SOAF27,B,5000.0
SOAF41,,N,0.0
SOAF44,SOAF41,S,3000.0
SOAF46,SOAF44,B,5000.0
SOAF47,SOAF27,S,5000.0
SAFTRA22,SOAF22,N,0.0
ESKOM21,,S,10000.0
ESKOM23,SAFTRA22,N,0.0
ESKOM25,SOAF25,B,5000.0
ESKOM18Z,,,
ESKOM27Z,,N,0.0
ESKOM32Z,,N,0.0
FSRSJ20,SOAF20,B,3000.0
NPNSJ20,,,
NPNSJ25,SOAF25,,
AFRIBK620,,,
AFRIBK820,,N,
AFRIBK19CH,,N,0.0
AFRIBKRN,,,
MTNSJ22,,,
MTNSJ24,MTNSJ22,S,2000.0
MTNSJ26,MTNSJ24,S,3000.0
