Almosna,zohidovg,rayjonat,spinnera,davieske,trindac,other,ahmedsay
AsiaSov,AsiaSov,AsiaSov,AsiaSov,AsiaSov,AsiaSov,AsiaSov,Turkey
AsiaHY,AsiaHY,AsiaHY,AsiaHY,AsiaHY,AsiaHY,AsiaHY,CIS
AsiaIG,AsiaIG,AsiaIG,AsiaIG,AsiaIG,AsiaIG,AsiaIG,Africa
Africa,Africa,RussiaBanks,Africa,Africa,Africa,Africa,SouthAfrica
SouthAfrica,Ukraine,Ukraine,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,AsiaSov
Ukraine,Corporates,Corporates,Ukraine,Ukraine,Ukraine,Ukraine,AsiaHY
Corporates,RussiaCorps,RussiaCorps,Corporates,Corporates,Corporates,Corporates,AsiaIG
RussiaCorps,RussiaBanks,Africa,RussiaCorps,RussiaCorps,RussiaCorps,RussiaCorps,Ukraine
RussiaBanks,CIS,SouthAfrica,RussiaBanks,RussiaBanks,RussiaBanks,RussiaBanks,Corporates
CIS,CEE,MENA,CIS,CIS,CIS,CIS,RussiaCorps
CEE,Turkey,CIS,CEE,CEE,CEE,CEE,RussiaBanks
Turkey,MENA,CEE,Turkey,Turkey,Turkey,Turkey,CEE
MENA,CHF,Turkey,MENA,MENA,MENA,MENA,MENA
CHF,EUR,CHF,CHF,CHF,CHF,CHF,CHF
EUR,LATAM,EUR,EUR,EUR,EUR,EUR,EUR
LATAM,ModelPortfolio,LATAM,LATAM,LATAM,LATAM,LATAM,LATAM
ModelPortfolio,IRHedges,ModelPortfolio,ModelPortfolio,ModelPortfolio,ModelPortfolio,ModelPortfolio,ModelPortfolio
IRHedges,,IRHedges,IRHedges,IRHedges,IRHedges,IRHedges,IRHedges
