Bond,Benchmarks,AXE_TYPE,AXE_SIZE
Turkey sov,,,
TURKEY19E,,A,0.0
TURKEY20E,,A,0.0
TURKEY21E,,A,0.0
TURKEY23E,,A,0.0
TURKEY25E,,A,0.0
TURKEY18SK,,A,0.0
TURKEY18SKN,,A,0.0
TURKEY21SK,,S,2000.0
TURKEY23SK,,A,0.0
TURKEY24SK,,A,0.0
TURKEY18,,A,0.0
TURKEY19,,A,0.0
TURKEY19N,,A,0.0
TURKEY20,,S,5000.0
TURKEY21,,A,0.0
TURKEY22,,B,3000.0
TURKEY22N,,B,2000.0
TURKEY23,,B,3000.0
TURKEY24,,A,0.0
TURKEY25,,A,0.0
TURKEY26,,A,0.0
TURKEY26N,,A,0.0
TURKEY27,,B,3000.0
TURKEY30,,A,0.0
TURKEY34,,A,0.0
TURKEY36,,A,0.0
TURKEY38,,A,0.0
TURKEY40,,N,0.0
TURKEY41,,A,0.0
TURKEY43,,N,0.0
TURKEY45,,A,0.0
TURKEY47,,N,0.0
Turkey Banks,,,
AKBNK18,,B,3000.0
AKBNK20,TURKEY20,A,0.0
AKBNK22,TURKEY22,A,0.0
AKBNK25,TURKEY25,A,0.0
AKBNK27S,,A,0.0
AKBNKL18,,A,0.0
BNKPOZ18,,B,1000.0
EXCRTU19,,N,0.0
EXCRTU21,,A,0.0
EXCRTU21N,,A,0.0
EXCRTU22N,TURKEY22,A,0.0
EXCRTU23,,B,2000.0
FINBN19,,A,0.0
FINBN22,,A,0.0
GARAN19,,A,0.0
GARAN19E,,A,0.0
GARAN21,,A,0.0
GARAN22,TURKEY22,B,2000.0
GARAN23,TURKEY23,A,0.0
GARAN27S,,A,0.0
HALKBK19,,A,0.0
HALKBK20,,A,0.0
HALKBK21,,A,0.0
HALKBK21N,TURKEY21,A,0.0
ISCTR18,,B,3000.0
ISCTR19,,A,0.0
ISCTR20,,A,0.0
ISCTR21,,A,0.0
ISCTR21N,,A,0.0
ISCTR22,TURKEY22,A,0.0
ISCTR22S,,A,0.0
ISCTR23S,,A,0.0
ISCTR24,TURKEY24,S,3000.0
ISCTR24T,,S,3000.0
ISCTR28S,,A,0.0
TCZIRA19,,A,0.0
TCZIRA21,,A,0.0
TCZIRA22,TURKEY22,N,0.0
TCZIRA23,TURKEY23,N,0.0
TSKBTI19,,A,0.0
TSKBTI20,,A,0.0
TSKBTI21,TURKEY21,A,0.0
TSKBTI27S,,A,0.0
TUFIKA18,,A,0.0
TUFIKA19,,S,1000.0
VAKBN18,,A,0.0
VAKBN18N,,A,0.0
VAKBN19E,,A,0.0
VAKBN21EC,,A,0.0
VAKBN21N,TURKEY21,A,0.0
VAKBN22,TURKEY22,A,0.0
VAKBN22S,,A,0.0
VAKBN25S,,A,0.0
YKBNK18,,B,3000.0
YKBNK19,,A,0.0
YKBNK20,,A,0.0
YKBNK22,TURKEY22,A,0.0
YKBNK22S,,A,0.0
YKBNK24,TURKEY24,A,0.0
YKBNK26S,,A,0.0
Turkey Corps,,,
ACKAF,,S,2000.0
ACKAF21E,,A,0.0
AEFES,TURKEY22,A,0.0
CCOLAT,,A,0.0
CCOLAT24,TURKEY24,B,2000.0
KCHOL20,,A,0.0
KCHOL23,TURKEY23,B,2000.0
MERSIN,,A,0.0
SISETI,,A,0.0
TCELLT25,TURKEY25,A,0.0
TURKTI19,,A,0.0
TURKTI24,TURKEY24,B,1000.0
TUPRST,,A,0.0
TUPRST24,TURKEY24,A,0.0
YASARH20,,A,0.0
Africa Supra,,,
AFREXI18,,A,0.0
AFREXI19,,A,0.0
AFREXI21,,A,0.0
AFREXI24,AFRFIN24,A,0.0
AFRFIN20,,A,0.0
AFRFIN24,AFREXI24,A,0.0
BOAD21,,B,2000.0
BOAD27,BOAD21,A,0.0
PTABNK18,,A,0.0
PTABNK22,,A,0.0
Russia Sov,,,
RUSSIA20E,,A,0.0
RUSSIA18,,A,0.0
RUSSIA19,,A,0.0
RUSSIA20,,B,2500.0
RUSSIA30,,A,0.0
RUSSIA22,,A,0.0
RUSSIA23,RUSSIA43,A,0.0
RUSSIA26,,A,0.0
RUSSIA27,RUSSIA47,A,0.0
RUSSIA28,,A,0.0
RUSSIA42,,A,0.0
RUSSIA43,,A,0.0
RUSSIA47,,N,0.0
