Bond,Benchmarks,AXE_TYPE,AXE_SIZE
Sovereign,,,
UKRAIN19,,A,0.0
UKRAIN20,UKRAIN19,B,2000.0
UKRAIN21,UKRAIN20,A,0.0
UKRAIN22,UKRAIN21,A,0.0
UKRAIN23,UKRAIN22,A,0.0
UKRAIN24,UKRAIN23,A,0.0
UKRAIN25,UKRAIN24,A,0.0
UKRAIN26,UKRAIN25,A,0.0
UKRAIN27,UKRAIN26,B,1195.0
UKRAIN32,UKRAIN27,B,2100.0
UKRAIN40,,N,0.0
,,,
Quasi-sovereigns,,,
EXIMUK22,EXIMUK25,A,0.0
EXIMUK25,UKRAIN25,A,0.0
OSCHAD23,OSCHAD25,A,0.0
OSCHAD25,UKRAIN25,A,0.0
RAILUA21,UKRAIN21,A,0.0
,,,
Corporates,,,
DTEKUA24,,A,0.0
FXPOLN19,,A,0.0
FXPOLN19N,,A,0.0
INPIP,,A,0.0
METINV21,,A,0.0
MHPSA20,UKRAIN20,A,0.0
MHPSA24,UKRAIN24,A,0.0
KERPW22,UKRAIN22,A,0.0
UKRLAN,,A,0.0
AVINPU,,A,0.0
MRIYA16,,N,0.0
MRIYA18,,A,0.0
,,,
Banks,,,
PRBANK18J,,A,0.0
PRBANK18F,,A,0.0
PRBANK21,,A,0.0
PUMBUZ,,A,0.0
FICBUA19,,A,0.0
VABANK,,N,0.0
NADRA17,,N,0.0
