SEND,Header,Change,Autoforward,Bond0,Bond1,Bond2,Bond3,Bond4,Bond5,Bond6,Bond7,Bond8,Bond9,Bond10,Bond11,Bond12,Bond13,Bond14,Bond15,Bond16,Bond17,Bond18,Bond19,Bond20,Bond21,Bond22,Bond23,Bond24,Bond25,Bond26,Bond27,Bond28,Bond29,Bond30,Bond31,Bond32,Bond33,Bond34,Bond35,Bond36,Bond37,Bond38,Bond39,Bond40,Bond41,Bond42,Bond43,Bond44,Bond45,Bond46,Bond47,Bond48,Bond49,Bond50,Bond51,Bond52,Bond53,Bond54,Bond55,Bond56,Bond57,Bond58,Bond59,Bond60,Bond61,Bond62,Bond63,Bond64,Bond65,Bond66,Bond67,Bond68,Bond69,Bond70,Bond71,Bond72,Bond73,Bond74,Bond75,Bond76,Bond77,Bond78,Bond79,Bond80,Bond81,Bond82,Bond83,Bond84,Bond85,Bond86,Bond87,Bond88,Bond89,Bond90,Bond91,Bond92,Bond93,Bond94,Bond95,Bond96,Bond97,Bond98,Bond99,Bond100
TEMP,Temporary,Price,TRUE,START,BOND1,BOND2,BOND3,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSA,Sub-Saharan Africa,Price,TRUE,START,ANGOL19,ANGOL25,ETHOPI24,GABON17,GABON24,GABON25,GHANA22,GHANA23,GHANA26,GHANA30,IVYCST24,IVYCST25E,IVYCST28,IVYCST32,IVYCST33,KENINT19,KENINT24,MOZAM23,NGERIA18,NGERIA21,NGERIA22,NGERIA23,NGERIA27,NGERIA32,NGERIA47,REPCAM25,REPCON29,REPNAM21,REPNAM25,RWANDA23,SENEGL21,SENEGL24,SENEGL33,SOAF26,TNZNIA20,ZAMBIN22,ZAMBIN24,ZAMBIN27,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOAF,"South African Sovereign, Eskom, Transnet",Spread,TRUE,START,SOAF19,SOAF20,SOAFSK,SOAF22,SOAF24,SOAF25,SOAF26,SOAF27,SOAF28,SOAF41,SOAF44,SOAF46,SOAF47,SAFTRA22,ESKOM21,ESKOM23,ESKOM25,SOAF26E,ESKOM18Z,ESKOM27Z,ESKOM32Z,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOAFC,South African corporates,Price,TRUE,START,SOAF25,SAFTRA22,ESKOM21,ESKOM23,ESKOM25,NPNSJ17,NPNSJ20,NPNSJ25,MTNSJ22,MTNSJ24,MTNSJ26,FSRSJ20,AFRIBK620,AFRIBK820,AFRIBKRN,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFBK,African Banks,Price,TRUE,START,AFREXI18,AFREXI19,AFREXI21,AFRFIN20,AFRFIN24,BOAD21,BOAD27,PTABNK18,PTABNK22,AFRIBK620,AFRIBK820,AFRIBK19CH,FSRSJ20,ACCESS21,ACCESS21S,DIAMBK19,ECOTRA21,FBNNL20S,FBNNL21S,FIDBAN18,FIDBAN22,GRTBNL18,UBANL22,ZENITH19,ZENITH22,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFSBK,African Supranational Banks,Spread,TRUE,START,AFREXI18,AFREXI19,AFREXI21,AFREXI24,AFRFIN20,AFRFIN24,BOAD21,BOAD27,PTABNK18,PTABNK22,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria Eurobonds,Price,TRUE,START,NGERIA18,NGERIA21,NGERIA22,NGERIA23,NGERIA27,NGERIA32,NGERIA47,ACCESS21,ACCESS21S,DIAMBK19,ECOTRA21,FBNNL20S,FBNNL21S,FIDBAN18,FIDBAN22,GRTBNL18,UBANL22,ZENITH19,ZENITH22,SEATRK,HELTOW,IHSHLD21,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAF,North Africa,Price,TRUE,START,EGYPT20,EGYPT22,EGYPT25,EGYPT27,EGYPT40,EGYPT47,IRAQ23,IRAQ28,MOROC22,MOROC42,JORDAN26,JORDAN27,JORDAN47,BTUN20E,BTUN24E,BTUN25,OCPMR24,OCPMR25,OCPMR44,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGP,Egypt,Price,TRUE,START,EGYPT20,EGYPT22,EGYPT25,EGYPT27,EGYPT40,EGYPT47,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKRAINE,Ukraine Sovereign,Price,TRUE,START,UKRAIN19,UKRAIN20,UKRAIN21,UKRAIN22,UKRAIN23,UKRAIN24,UKRAIN25,UKRAIN26,UKRAIN27,UKRAIN32,UKRAIN40,EXIMUK22,EXIMUK25,OSCHAD23,OSCHAD25,END, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKRCB,Ukraine corporates,Price,TRUE,START,DTEKUA24,METINV21,FXPOLN19,INPIP,MHPSA20,MHPSA24,KERPW22,UKRLAN,AVINPU,MRIYA16,MRIYA18,PRBANK18J,PRBANK18F,PRBANK21,PUMBUZ,FICBUA19,VABANK,NADRA17,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KZBK,Kazakh Banks,Price,TRUE,START,ALLIBK22,ALLIBK24,ATFBPP,CCBNKZP,DBKAZ20,DBKAZ22,DBKAZ26,EURDEV20,EURDEV22,HSBKKZ21,KAZNMH19E,KAZNMH23,KKB18,KKB22,KKBP,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HY,EM high yield / illiquids indications,Price,FALSE,START,GENLLN,SEVENG,SEATRK,KOS,HELTOW,IHSHLD21,HLSTWR,PUMAFN21,PUMAFN22,TPZMAR,TLWLN20,TLWLN22,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUSSIA,Russia Sovereign,Spread,TRUE,START,RUSSIA20E,RUSSIA18,RUSSIA19,RUSSIA20,RUSSIA30,RUSSIA22,RUSSIA23,RUSSIA26,RUSSIA27,RUSSIA28,RUSSIA42,RUSSIA43,RUSSIA47,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRANSPORT,Russia Transport,Price,FALSE,START,RURAIL18CH,RURAIL20,RURAIL21E,RURAIL21CH,RURAIL22,RURAIL23E,RURAIL24,RURAIL31G,SCFRU23,GLPRLI22,GLPRLI23,DMEAIR18,DMEAIR21,END,PROMBK19,PROMBK19S,PROMBK21S,PROMBK21SJ,PROMBKP,HCFBRU20S,HCFBRU21S,AKBHCP,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNGUSD,Hungary $,Price,FALSE,START,REPHUN18,REPHUN19,REPHUN20,MAGYAR20,REPHUN21,REPHUN23,REPHUN23N,REPHUN24,REPHUN41,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERBCRO,Serbia / Croatia,Price,FALSE,START,CROATI17,SERBIA17,HRELEC,SERBIA18,CROATI19,SERBIA20,CROATI20,CROATI21,SERBIA21,REPHUN23,CROATI23,CROATI24,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
